127.0.0.1, 2019-08-23 11:33:37, GET, /admin/default/design/Shots_Manager, HTTP/1.1, 200, 0.112000
127.0.0.1, 2019-08-23 11:33:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.113000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.064000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.054000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.035000

127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.013000
000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.028000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.223000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.048000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.023000
000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.036000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.029000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.017000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/js/ajax_editor.js, HTTP/1.1, 200, 0.039000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/js/typeahead.min.js, HTTP/1.1, 200, 0.086000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.164000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-08-23 11:34:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-08-23 11:34:01, GET, /admin/default/edit/Shots_Manager/models/db.py, HTTP/1.1, 200, 0.075000
